CRANK-NICOLSON METHOD

  I        X(I)     W(X(I),5.000000e-01)
  1  0.01000000    0.00022509
  2  0.02000000    0.00044996
  3  0.03000000    0.00067438
  4  0.04000000    0.00089814
  5  0.05000000    0.00112101
  6  0.06000000    0.00134278
  7  0.07000000    0.00156322
  8  0.08000000    0.00178211
  9  0.09000000    0.00199925
 10  0.10000000    0.00221442
 11  0.11000000    0.00242740
 12  0.12000000    0.00263798
 13  0.13000000    0.00284596
 14  0.14000000    0.00305114
 15  0.15000000    0.00325330
 16  0.16000000    0.00345225
 17  0.17000000    0.00364779
 18  0.18000000    0.00383974
 19  0.19000000    0.00402789
 20  0.20000000    0.00421207
 21  0.21000000    0.00439209
 22  0.22000000    0.00456778
 23  0.23000000    0.00473896
 24  0.24000000    0.00490547
 25  0.25000000    0.00506713
 26  0.26000000    0.00522379
 27  0.27000000    0.00537530
 28  0.28000000    0.00552150
 29  0.29000000    0.00566225
 30  0.30000000    0.00579742
 31  0.31000000    0.00592686
 32  0.32000000    0.00605046
 33  0.33000000    0.00616808
 34  0.34000000    0.00627962
 35  0.35000000    0.00638496
 36  0.36000000    0.00648399
 37  0.37000000    0.00657663
 38  0.38000000    0.00666278
 39  0.39000000    0.00674236
 40  0.40000000    0.00681528
 41  0.41000000    0.00688147
 42  0.42000000    0.00694087
 43  0.43000000    0.00699342
 44  0.44000000    0.00703908
 45  0.45000000    0.00707778
 46  0.46000000    0.00710950
 47  0.47000000    0.00713420
 48  0.48000000    0.00715186
 49  0.49000000    0.00716247
 50  0.50000000    0.00716600
 51  0.51000000    0.00716247
 52  0.52000000    0.00715186
 53  0.53000000    0.00713420
 54  0.54000000    0.00710950
 55  0.55000000    0.00707778
 56  0.56000000    0.00703908
 57  0.57000000    0.00699342
 58  0.58000000    0.00694087
 59  0.59000000    0.00688147
 60  0.60000000    0.00681528
 61  0.61000000    0.00674236
 62  0.62000000    0.00666278
 63  0.63000000    0.00657663
 64  0.64000000    0.00648399
 65  0.65000000    0.00638496
 66  0.66000000    0.00627962
 67  0.67000000    0.00616808
 68  0.68000000    0.00605046
 69  0.69000000    0.00592686
 70  0.70000000    0.00579742
 71  0.71000000    0.00566225
 72  0.72000000    0.00552150
 73  0.73000000    0.00537530
 74  0.74000000    0.00522379
 75  0.75000000    0.00506713
 76  0.76000000    0.00490547
 77  0.77000000    0.00473896
 78  0.78000000    0.00456778
 79  0.79000000    0.00439209
 80  0.80000000    0.00421207
 81  0.81000000    0.00402789
 82  0.82000000    0.00383974
 83  0.83000000    0.00364779
 84  0.84000000    0.00345225
 85  0.85000000    0.00325330
 86  0.86000000    0.00305114
 87  0.87000000    0.00284596
 88  0.88000000    0.00263798
 89  0.89000000    0.00242740
 90  0.90000000    0.00221442
 91  0.91000000    0.00199925
 92  0.92000000    0.00178211
 93  0.93000000    0.00156322
 94  0.94000000    0.00134278
 95  0.95000000    0.00112101
 96  0.96000000    0.00089814
 97  0.97000000    0.00067438
 98  0.98000000    0.00044996
 99  0.99000000    0.00022509
